Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Cellular_Component_2023,Cytoskeleton (GO:0005856),15/599,3.5910402214393764e-08,4.057875450226495e-06,0,0,6.992813042639398,119.8724712575096,VASP;CENPV;PPP1R12A;AHNAK;DDX20;DTNBP1;LSP1;ADD3;ACACA;LIMA1;MYO1E;MAP7D3;PALLD;MICAL1;MAPK3
Reactome_2022,Nuclear Envelope Breakdown R-HSA-2980766,6/53,1.0339771503009579e-07,4.880372149420521e-05,0,0,31.70265957446809,509.9272286712014,RANBP2;NEK9;NUP50;TPR;NUP153;EMD
KEGG_2021_Human,mTOR signaling pathway,8/154,3.286238180061051e-07,5.257981088097682e-05,0,0,13.886898489638217,207.3085109341922,RPTOR;RPS6KA3;RPS6KB1;RPS6KA1;RPS6;TSC2;EIF4B;MAPK3
GO_Cellular_Component_2023,Actin Cytoskeleton (GO:0015629),10/327,1.4030989544519702e-06,7.927509092653632e-05,0,0,8.134235430848415,109.62368553925036,VASP;LIMA1;MYO1E;PPP1R12A;SH3PXD2A;AHNAK;PALLD;MICAL1;LSP1;ACACA
Reactome_2022,Mitotic Prophase R-HSA-68875,7/112,5.334223268703236e-07,8.392511276093093e-05,0,0,16.71645569620253,241.45168984483365,RANBP2;NEK9;NUP50;TPR;NUP153;EMD;MAPK3
Reactome_2022,Nuclear Pore Complex (NPC) Disassembly R-HSA-3301854,5/36,4.435617183150898e-07,8.392511276093093e-05,0,0,39.59179609717244,579.1657735557782,RANBP2;NEK9;NUP50;TPR;NUP153
Reactome_2022,MTOR Signaling R-HSA-165159,5/41,8.669795088033718e-07,0.00010230358203879788,0,0,34.084362139917694,475.7580647127432,RPTOR;RPS6KB1;RPS6;TSC2;EIF4B
Reactome_2022,Viral Messenger RNA Synthesis R-HSA-168325,5/47,1.739064073106916e-06,0.00016416764850129287,0,0,29.20634920634921,387.33937778391623,RANBP2;NUP50;TPR;NUP153;GTF2F1
Reactome_2022,Metabolism Of Non-Coding RNA R-HSA-194441,5/52,2.897242771144559e-06,0.00018704972027134875,0,0,26.092723929603363,332.72791955297555,RANBP2;NUP50;TPR;DDX20;NUP153
Reactome_2022,mTORC1-mediated Signaling R-HSA-166208,4/24,3.170334241887267e-06,0.00018704972027134875,0,0,48.5219512195122,614.3691056979761,RPTOR;RPS6KB1;RPS6;EIF4B
