Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Reactome_2022,VLDL Clearance R-HSA-8964046,2/5,1.7986799164027146e-06,0.00012770627406459274,0,0,1903.6190476190477,25181.943747367222,APOBR;LSR
Reactome_2022,Plasma Lipoprotein Clearance R-HSA-8964043,2/35,0.0001062792531246727,0.0037729134859258,0,0,172.7965367965368,1580.9916258965322,APOBR;LSR
Reactome_2022,"Plasma Lipoprotein Assembly, Remodeling, And Clearance R-HSA-174824",2/71,0.0004401618893536392,0.0104171647147027,0,0,82.4927536231884,637.5343547242987,APOBR;LSR
KEGG_2021_Human,Cell adhesion molecules,2/148,0.0018924653186597,0.0113547919119584,0,0,38.83561643835616,243.4944566744586,CD2;VSIR
Reactome_2022,Viral mRNA Translation R-HSA-192823,2/90,0.0007062573559021665,0.0125360680672634,0,0,64.62012987012987,468.8533464577649,PBRM1;FAU
Reactome_2022,Influenza Viral RNA Transcription And Replication R-HSA-168273,2/137,0.0016248907120127,0.0212783523833229,0,0,42.023280423280426,269.8867324286517,PBRM1;FAU
Reactome_2022,Influenza Infection R-HSA-168255,2/157,0.0021259845416244,0.0212783523833229,0,0,36.56405529953917,224.99765544631063,PBRM1;FAU
Reactome_2022,vRNP Assembly R-HSA-192905,1/5,0.0022481605524021,0.0212783523833229,0,0,624.59375,3808.549663430724,PBRM1
Reactome_2022,Entry Of Influenza Virion Into Host Cell Via Endocytosis R-HSA-168275,1/6,0.0026972559359141,0.0212783523833229,0,0,499.65,2955.689739283532,PBRM1
Reactome_2022,Virus Assembly And Release R-HSA-168268,1/6,0.0026972559359141,0.0212783523833229,0,0,499.65,2955.689739283532,PBRM1
GO_Biological_Process_2023,Regulation Of T Cell Differentiation (GO:0045580),2/47,0.0001925496350829552,0.0212815255202798,0,0,126.64126984126985,1083.4358946139766,CD2;PBRM1
GO_Biological_Process_2023,Positive Regulation Of T Cell Differentiation (GO:0045582),2/64,0.0003576726978198286,0.0212815255202798,0,0,91.83870967741936,728.8221036118728,PBRM1;VSIR
GO_Biological_Process_2023,Regulation Of Type II Interferon Production (GO:0032649),2/87,0.0006601646390790557,0.0261865306834692,0,0,66.9109243697479,489.99012442270543,CD2;VSIR
