Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
The_Kinase_Library_2024,MAPKAPK2,25/738,3.6856986415380293e-16,1.367394196010609e-13,0,0,11.036833513438944,392.2148642203514,TBC1D9B;FKBP15;AHNAK;BOD1L1;DDX20;LSP1;GPATCH8;CEP170;EIF4B;REPS1;SRRM2;VASP;PPP1R12A;DTNBP1;TSC2;IRF2BP2;CDC25C;GTF2F1;NFKB2;SSH1;DOK1;MYO1E;PEX5L;PALLD;PNPLA6
The_Kinase_Library_2024,GAK,25/763,7.9649691142153375e-16,1.477501770686945e-13,0,0,10.649073703851792,370.2289807992579,FKBP15;ICE1;AHNAK;RGPD8;PDS5A;GPATCH8;EEF1B2;MTA1;TPR;CEP170;EIF4B;MAPK3;REPS1;SRRM2;RANBP2;SPAG9;XRCC6;PPP1R12A;XRCC5;RPS6;NUP153;GTF2F1;MAP7D3;TBC1D5;TLN1
The_Kinase_Library_2024,BIKE,24/771,1.0545072120900608e-14,1.304073918951375e-12,0,0,9.932374659930042,319.6547831347851,SRRM2;RANBP2;SPAG9;XRCC6;PPP1R12A;FKBP15;ICE1;AHNAK;RPS6;NUP153;GTF2F1;GPATCH8;EEF1B2;MTA1;MAP7D3;PALLD;TBC1D5;CEP170;UBAP2L;CIC;TLN1;EIF4B;MAPK3;REPS1
PPI_Hub_Proteins,CDK2,23/675,6.2572463269757995e-15,1.6581702766485869e-12,0,0,10.785519524783329,352.7408063907969,SRRM2;RANBP2;SPAG9;JUN;XRCC6;AHNAK;YTHDC1;DDX20;NUP153;CDC25C;GTF2F1;ADD3;NFKB2;SSH1;RPTOR;MTA1;RPS6KB1;CHEK1;RPS6KA1;TPR;CIC;EIF4B;MAPK3
The_Kinase_Library_2024,ERK5,23/729,3.1944505427959733e-14,2.962852878443266e-12,0,0,9.932640856153604,308.6545917093716,SRRM2;RANBP2;JUN;JUND;AHNAK;STAU2;DDX20;IRF2BP2;LSP1;ARAP1;OXSR1;ARHGAP5;PDS5A;NFKB2;RPTOR;MAP7D3;PALLD;RPS6KA1;TPR;CEP170;UBAP2L;CIC;EIF4B
KEA_2015,PRKDC,14/180,3.5429116926688526e-14,3.684628160375607e-12,0,0,23.13186077643909,716.4224672885435,SRRM2;SPAG9;JUN;XRCC6;PPP1R12A;XRCC5;RPS6;LSP1;ACACA;NFKB2;RPS6KB1;CHEK1;TPR;EIF4B
The_Kinase_Library_2024,MELK,24/829,5.1573430863737736e-14,3.826748570089341e-12,0,0,9.18885994790623,281.14024333013833,SRRM2;SPAG9;VASP;PPP1R12A;ICE1;AHNAK;YTHDC1;RPS6;BOD1L1;NOP2;DDX20;ADD3;GPATCH8;SSH1;RPTOR;FYCO1;SH3PXD2A;MAP7D3;TBC1D5;KIF4A;CEP170;UBAP2L;CIC;TLN1
The_Kinase_Library_2024,PBK,23/761,7.88143823232349e-14,4.873355973653358e-12,0,0,9.486127242224804,286.21240410936537,SRRM2;RANBP2;VASP;CENPV;XRCC6;PPP1R12A;FKBP15;ICE1;AHNAK;RPS6;TSC2;NUP153;CDC25C;GTF2F1;GPATCH8;MTA1;PALLD;TBC1D5;CHEK1;RPS6KA1;CEP170;EIF4B;REPS1
The_Kinase_Library_2024,DNAPK,23/769,9.811686590520477e-14,4.899073433511069e-12,0,0,9.380484275926635,280.9700538933505,SRRM2;SPAG9;XRCC6;PPP1R12A;FKBP15;AHNAK;XRCC5;BOD1L1;TSC2;OXSR1;ARHGAP5;NFKB2;FYCO1;DOK1;PEX5L;SH3PXD2A;PALLD;CHEK1;TPR;CEP170;UBAP2L;TLN1;EIF4B
The_Kinase_Library_2024,MST4,25/951,1.1967582580937302e-13,4.899073433511069e-12,0,0,8.403852281981376,250.04813473609224,AHNAK;BOD1L1;NOP2;RGPD8;ADD3;GPATCH8;RPS6KA3;LIMA1;RPS6KA1;TPR;CEP170;UBAP2L;CIC;REPS1;SRRM2;RANBP2;SPAG9;PPP1R12A;RPS6;OXSR1;NFKB2;MYO1E;MAP7D3;PACS1;TLN1
The_Kinase_Library_2024,DRAK1,24/864,1.2659527968736978e-13,4.899073433511069e-12,0,0,8.789861751152074,261.03939081033667,SRRM2;RANBP2;VASP;XRCC6;PPP1R12A;FKBP15;AHNAK;RPS6;NOP2;DDX20;TSC2;RGPD8;NUP153;CDC25C;ADD3;NFKB2;RPS6KA3;LIMA1;SH3PXD2A;TBC1D5;KIF4A;RPS6KA1;CEP170;EIF4B
The_Kinase_Library_2024,CHAK2,23/780,1.3205049686013666e-13,4.899073433511069e-12,0,0,9.238871065819549,273.98419080857025,SRRM2;RANBP2;JUN;AHNAK;YTHDC1;NOP2;TSC2;IRF2BP2;GTF2F1;ADD3;PDS5A;GPATCH8;NFKB2;SSH1;LIMA1;PALLD;TBC1D5;DDI2;TPR;UBAP2L;CIC;EIF4B;AGFG1
The_Kinase_Library_2024,CAMK1G,24/873,1.5841245321030606e-13,5.3428200128203225e-12,0,0,8.692579505300353,256.20138790698604,SRRM2;PPP1R12A;FKBP15;AHNAK;YTHDC1;RPS6;BOD1L1;NOP2;DDX20;IRF2BP2;ARHGAP5;ADD3;GPATCH8;SSH1;RPTOR;MYO1E;SH3PXD2A;MAP7D3;PALLD;KIF4A;CEP170;CIC;TLN1;EIF4B
