Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
PPI_Hub_Proteins,EIF2C1,3/174,0.0001014474969318019,0.0021811211840337,0,0,43.46052631578947,399.66165989125534,DCP1A;ILF2;SYNE1
PPI_Hub_Proteins,EIF2C2,3/156,7.335787267371665e-05,0.0021811211840337,0,0,48.61764705882353,462.8478142602716,DCP1A;ILF2;SYNE1
The_Kinase_Library_2024,CHK1,5/741,2.641806691325796e-05,0.0031569589961343,0,0,21.799139492753625,229.79480994956495,C2CD5;ARHGEF18;DCP1A;LDLRAP1;VSIR
The_Kinase_Library_2024,MAPKAPK2,5/738,2.590611816871548e-05,0.0031569589961343,0,0,21.891768985902683,231.19965953961017,C2CD5;ARHGEF18;VSIR;RAB11FIP5;SYNE1
The_Kinase_Library_2024,KIS,4/720,0.0004489341485674476,0.0146799904264109,0,0,15.38148443735036,118.57023918640552,C2CD5;ARHGEF18;RAB11FIP5;SYNE1
The_Kinase_Library_2024,BMPR2,4/786,0.000626093618895883,0.0146799904264109,0,0,14.035074899525029,103.52286189165714,C2CD5;ARHGEF18;ILF2;F5
The_Kinase_Library_2024,ATR,4/784,0.000620088729825982,0.0146799904264109,0,0,14.072527472527472,103.93473406637986,ARHGEF18;DCP1A;LDLRAP1;F5
The_Kinase_Library_2024,MSK1,4/794,0.0006505318300204783,0.0146799904264109,0,0,13.887160940325495,101.90010315206268,TFEB;ARHGEF18;RAB11FIP5;SYNE1
The_Kinase_Library_2024,DYRK1B,4/657,0.0003166548542040161,0.0146799904264109,0,0,16.92058630496609,136.34097722443195,ARHGEF18;DCP1A;RAB11FIP5;SYNE1
The_Kinase_Library_2024,PAK5,4/799,0.0006661493406276017,0.0146799904264109,0,0,13.79622641509434,100.9055541604409,TFEB;ARHGEF18;RAB11FIP5;SYNE1
The_Kinase_Library_2024,PKACA,4/802,0.0006756480949394146,0.0146799904264109,0,0,13.742212674543502,100.3159288566207,TFEB;ARHGEF18;RAB11FIP5;SYNE1
The_Kinase_Library_2024,AURA,4/790,0.0006382286519546489,0.0146799904264109,0,0,13.960741548527809,102.7065781790907,TFEB;ARHGEF18;RAB11FIP5;SYNE1
