gene,log2FC
STIL,-2.54216141013432
PRKCA,-2.34607230442307
CASP1,-2.24746729233779
PSIP1,-2.24271045398948
GCN1,-2.00728370779416
XIRP1,-1.93183763373603
CD2,2.63437084214381
NOP2,-1.16490839256045
RAB3GAP2,-1.10272897532686
RRM2,-1.0730830715635
TUBB4A,-1.03702943981402
TUBB8,-1.03702943981402
TUBB4B,-1.03702943981402
RPS6KA3,-1.00577597955145
RPS6KA1,-1.00577597955145
JUN,-0.97874404419191
CEP170,-0.97551695777825
TTK,-0.967770021610517
ALG2,-0.951675964895998
PGK2,-0.946515622895189
PGK1,-0.946515622895189
TFRC,-0.93366617346646
KHSRP,-0.932452506360294
ATAD2,-0.92889587212132
NUP153,-0.896048387356577
DDX39A,-0.890298343602577
KRT6A,-0.887522093855449
JUND,-0.886583192128583
RPS9,-0.884985802299336
LSR,0.932902203714031
APOBR,0.976647366348295
TPD52,0.993507902897524
SYNE1,1.01719081813582
VSIR,1.14330624297411
FYCO1,2.18880337075934
PBRM1,2.19027161899849
