gene,log2FC_30min,log2FC_90min
FYCO1,-2.09188548475788,2.18880337075934
XIRP1,-2.03636161703171,-1.93183763373603
CD2,-1.83055889941919,2.63437084214381
NUP153,-1.55564818963626,-0.896048387356577
RPS6KA3,-1.38508541225428,-1.00577597955145
RPS6KA1,-1.38508541225428,-1.00577597955145
CEP170,-1.25052806459433,-0.97551695777825
NOP2,-1.0875297961868,-1.16490839256045
JUN,-1.07207108022912,-0.97874404419191
JUND,-1.01267535028882,-0.886583192128583
SYNE1,1.04114671929726,1.01719081813582
VSIR,1.97235109118397,1.14330624297411
